,博主昵称,微博内容,发布时间
8582,厕所里的板砖020,港珍中国就别去了吧让印度去张忆安龙战于野别去了吧饼干姐上帝我化身大风吹灭过你们的圣火圣火箱子烧过安排你们十元老婆得过病负责圣火的警察也得了还有核废水还有火山爆发大阪前几天医疗告急给了你们这么多警示你们能不能听我一句劝,05月03日 23:22
8170,快看可爱是我,任豪没有人比R1SE更爱R1SE核废水喝多了吗你可拉倒吧太君,05月02日 22:03
7448,belllux,爱国爱港何君堯轉自香港同心總會仝心匯新冠病毒肆虐核廢水生態災難輻射變種病毒人類的未來會如何你能為地球做什麼未來由你來決定歡迎投稿到香港同心總會舉辦的第一屆同心中文寫作比賽全文O网页链接O我能為地球做什麼之我和地球有個約會,05月01日 10:41
9753,星辰大海莱茵哈特,请点公知把核废水喝完逆光飞行一年一次福岛行去的公知青春永固换来我们耳根清净,04月10日 21:56
7667,夹浪小夹子,任豪没有人比R1SE更爱R1SE没有人比你更懂核废水是吧ipad养乐多,05月02日 23:44
6463,LoKiala,自信点把估计去了偷国人早就掌握他们偷排核废水的证据了早前油管上都炸天的了而且有板有眼应该是掌握了大量事实证据的帝吧官微估计日本几年前就开始偷偷往太平洋里排核废水了,04月11日 20:40
389,烧钱钻石猎人,来吹吹日本的工匠精神意思是直接把核污染废水排进太平洋美国的医保死了56万新冠患者加拿大免费医保新冠死了24342身为一个党员却盲目崇外又何必赖在体制内,05月05日 08:21
579,placidstar,确定成分里没核废水我不信,05月06日 20:56
4452,廉政包大人,保护最多的人每日一喊请将烟草纳入禁毒法政法队伍教育整顿市民观察员包大人很忙内黄日本政府正式决定福岛核废水排海凌迟贪官人类命运共同体人民安全是国家安全的基石,05月15日 14:09
10048,帝吧官微,台湾人要开始喝猪粪尿液过滤处理后的自来水了然后高雄市长陈其迈说符合水质标准看来蔡菜子在为引进日本核废水做准备了拯救湾湾L帝吧官微的微博视频,04月10日 17:20
8351,金丝狸猫京剧乐园,中国周边发生7件大事百亿流量补贴计划武装冲突日本将福岛核废水排入太平洋快手快手L军事航标的快手视频,05月02日 20:04
4319,一瓶糨糊,日本把核废水排入大海会发生什么财经超级投资家快手知识市集快手财经科技快手快手L蓉蓉财经的快手视频,05月15日 22:57
6528,塞西莉娅和她的绿裙子,核废水这事气了我半年,04月11日 19:53
4196,秋树01_21300,日媒东电计划优先排放低浓度核污水通贝里们你们对日本向太平洋里排放核废水是什么看法不会选择性失明吧通贝里们咋不站出来反对日本排放核废水啊西方的发达国家美国英国澳大利亚之流什么态度大力支持吗O日媒东电计划优先排放低浓度核污水,05月14日 07:54
8062,亓月星火,任豪没有人比R1SE更爱R1SE没有拆那人比任豪更爱打倒帝国主义啊我说哟西任大佐快去喝核废水吧还是,05月02日 22:16
847,发一点点光,核废水特斯拉这是在考验你的智商日本排核废水已经沸沸扬扬闹了一段时间了马斯克的特斯拉刹车失灵也有一阵子了两个热点虽然风马牛不相及但从民众的激烈反应可以看出有共同的特点那就是判断认知的能力也就是说能否正确判断这俩个事件足以能考验一个人是否拥有日常的基本常识和分析判断的底层逻辑说简单特简单一句话就能做出方向不会错的结论说复杂也非常复杂需要掌握核物理及核医学动力惯性摩擦力控制系统等专业知识和理论才能从科学角度进行合理的判断这就是所谓的道与术的概念或者说哲学与科学的两个维度所谓道哲学就是人性的基本原则趋利避害所谓术科学就是用事实试验结果为依据最后得出结论今天就从道也就是哲学层面简单分析一下这两个热点事件1日本政府会祸害自己的人民么你只要回答是还是不是即可2日本核废水倾倒是先污染日本还是先污染其它国家3日本政府的决策能逃过日本人民的监督么4日本人民相信自己的政府么这四个问题如果你判断对了倾倒核废水的问题你也就明白了关于马斯克的特斯拉刹车失灵1马斯克的航天技术如何是世界一流吧你只要说是还是不是即可2这样的航天技术造汽车刹车控制系统有问题么3造手机的如果造汽车刹车系统你觉得会比马斯克厉害么4特斯拉的销量在电动汽车行业是不是第一5如果特斯拉真的刹车失灵谁会第一个站出来揭露它如果你把这五个问题闹明白了其实判断结果是什么就不中主要了其实7岁的王戎苦李在我国古代就已经给大家上了一堂哲学课7岁的孩子啊他就懂得路边的李子又大又红却没人摘一定是苦的这么简单而深刻的道理而我们呢呜呼哀哉人已半百却没有自己的独立思维和判断悲哀乎收起全文d,05月06日 10:28
6704,八戒二姨妈49355,日本要向太平洋排核污废水中国希望日本慎重考虑俄罗斯若要排我必重炮回击L八戒二姨妈49355的微博视频,04月11日 18:06
6450,莫里呈里莫,日本做类似于往海洋倾倒核辐射废水这种事也不是第一次了,04月11日 20:44
8076,无糖可乐要加冰滴,任豪没有人比R1SE更爱R1SE所有塌房爱豆都铺喝核废水大支持,05月02日 22:13
1066,流云锦年的时光,核废水的排放是影响着全球人民的生活的,05月07日 19:01
585,导演金刚jingang,买鱼剪开鱼肚发现完整塑料杯这些比起日本倾倒核废水再怎么努力环保都没用一下全完蛋,05月06日 20:38
480,大洋乐鱼,人家核废水都要放包括人类在内的全球生物都要祸害运动员算啥ps建议我国运动员别去参赛,05月05日 00:35
9103,黛西西里-v,荔splog第九周ending在学校的这一周似乎心都是飞的了本来以为可以拿到的大英赛的奖也没有了就差05分拿到三等奖没事明年继续努力nomadland终于看完了具体看豆瓣吧道长的这期关于日本核废水的这期让我涨了些见识其实之前一直对这件事懵懵懂懂的没啥了我要好好享受假期啦收起全文d,05月03日 14:47
5672,不是池鱼-,今日份气死来自海底被改编成日本核废水版里面的定音鼓solo简直直接打断我神经脑子有病吗没处展示吗有本事对着大洋彼岸骂啊在这儿浪费什么才华呢,05月19日 01:45
235,少喝点热水-,不解散留着喝核废水吗,05月05日 14:45
2544,墨梅行者20210504,小岛浪喷忍不了了核废水无害日本凭什么用福岛核废水绑架全世界请大家一起发声我反对哔哩哔哩动画O小岛浪喷忍不了了核废水无害日本凭什么用福岛核废水绑架全世界请大家一起发声我反对,05月10日 11:25
2790,onigiritoisu,谏人vvmwmvv恨你恨你真恨你把你丢进核废水里vvmwmvv我不发疯谁发疯我不发疯谁发疯我不发疯谁发疯我不发疯谁发疯我不发疯谁发疯我不发疯谁发疯我不发疯谁发疯我不发疯谁发疯我不发疯谁发疯我不发疯谁发疯我不发疯谁发疯我不发疯谁发疯我不发疯谁发疯我不发疯谁发疯我不发疯谁发疯,05月11日 21:36
7549,福慧双全322,大挽尊法师喝完核废水变哥斯拉,05月01日 07:30
4258,顺顺小宇呆毛,哇唧唧哇给爷滚出来核废水没喝饱吗您吸c得血倒是痛快给过c的待遇吗想奶团去找奶妈脑子不好建议先去照ct哦可能核辐射早就影响你脑子了说不定已经脑瘫了哇唧唧哇,05月14日 00:44
3304,张二呆吖,进击的巨人谏山创没有比你更狗的作者你的脑子被核废水污染了么,05月12日 10:27
4269,娘口娘口大娘口,哇唧唧哇哦哟我也没有想到我会来日你呢哇唧唧哇呀这个团是不是除了c其他的都是软饭男呀INTO1官博呀你皮下是不是人呀还是核废水喝多了变异了鸭哎呀我家c真累天天连轴转就为了养那10个软饭男啧啧连个正向rs都要原公司买哇你们真的穷到要倒闭啦普天同庆啊你们啥时候破产结算记得知会我们一声哦我给你买52响礼炮在你公司门口放哦也不一定到时候估计公司大楼都被你们拿去抵债啧啧收起全文d,05月14日 00:30
3620,Sometimeseven,Roby502再加几个说日本排核废水没问题谴责长安网印度放火那图女权都是一群人,05月13日 17:32
3659,天津反邪教,日本计划先排放7万吨核废水,05月13日 15:51
8372,我上辈子一定是颗橘子,怎么说呢生活中碰到知道尊重女性的男生就很难得了吧好兄弟这波不应该啊建设核聚变发电站成功研发轨道电梯带领人类走向共产主义在激战后的台北101大楼插上国旗和军旗不言山色语_处理核废水解放台湾区区一只此方消灭新冠病毒,05月02日 19:30
10149,义勇军--鬼谷子,解读日本决定把福岛核废水排入大海L义勇军鬼谷子的微博视频,04月10日 15:44
4568,Endoresu,谏人你到底喝了多少核废水,05月15日 01:36
7158,混沌已经开,日本排放核废水海鱼不能再食用中国渔民最多这么多人失业会造成不小问题,05月01日 20:00
3182,DarrenBM,回复无聊的vv雪崩里的每片雪花都很快乐没有一片雪花想过自己会落地化掉无聊的vv512是tm拿来p图的东西吗对受难者最不敬的就那p图的v8蛆一群魔怔人天天反串拱火阴阳怪气逮到个日v就喊核废水遇到个国v就是反串国v粉骂as点开一看收藏全是as他们这样精神真的没问题,05月12日 16:10
6988,Dadar鱼,一个日本孩子远眺福岛核电站的废墟问他的爷爷爷爷这里以前是个核电站吗是的爷爷叹了口气拍了拍孩子的头那泄露的核辐射已经都处理好了吗是的爷爷叹了口气拍了拍孩子的第二个头日本政府正式决定福岛核废水排海日本副首相称喝处理核废水没事日本日本收起全文d,04月25日 23:42
629,鑫燕84824,买鱼剪开鱼肚发现完整塑料杯害核废水都排了还怕塑料杯国外组织天天呼吁保护环境但却永远也不会想着地球是一个整体,05月06日 17:57
5383,Lili蕉下客,今日关注已经连续报道了5天巴以冲突了至暗已至2021核废水印度疫情巴以冲突下半年是什么钓鱼岛台湾之战吗这可能是三体的人类灭绝计划的第一步,05月18日 20:39
4539,少年感满满的小权,谏山创你自己睁大你的狗眼看看你画的什么东西三笠的人物设定全给毁了你还有什么脸说她是你最喜欢的角色让才是你的亲儿子吧你是喝了核废水脑子瓦特了才想得出这种狗屎剧情吗原先还对加卷抱有一丝幻想妈的是我有病一大早上就看得脑壳充血了,05月15日 09:02
8697,别骂小禾,人类命运共同体不是用来约束我们自己人去共情排放核废水的日本人制造中印边境争端的印度人的理念吧,05月03日 22:21
3091,流光萤沫,艾回你TM是不是有病买赞买到你爹头上水上瘾了是吧赛时就天天发大水赛后还水这么闲去把核废水喝了呀你以为赞多力丸米卡很火吗你以为他们一条微博能有上百万的赞吗老子大号小号全被买赞了不呐爱贝克思_国际部爱贝克思_国际部爱贝克思_国际部,05月12日 22:43
6309,北有玄武可依,七十年前美国核打击了日本76年后日本要核废水攻击全世界,04月11日 21:48
10239,可可谢老板,如果日本把核废水排入大海咱们国家大半沿海的省都会受影响是省啊不是市丧心病狂啊,04月10日 14:53
5485,Corry0506948916,核废水泄露又倾倒,05月18日 10:19
3944,黑木不是黑木,印度政府要求各邦阻止恒河弃尸行为一个邻国往海里排核废水一个邻国往河里丢新冠逝者尸体太难了,05月14日 19:24
9528,ther2ay,水至清则无瑜不愿再喝核废水,05月04日 16:14
1628,刘安定呀,我不想喝核废水我不想变成三头六臂L刘安定呀的微博视频,05月08日 11:12
1535,成都生态环境,专家福岛核废水与核电厂正常排放废水不同生态环境部核与辐射安全中心研究员刘新华核电厂正常运行的废水来源于工业产生水地面的排水等等最后再进行非常严密的处理然后再排放福岛核事故废水则是来源于堆芯的冷却水和进入反应堆芯的雨水地下水等等这种水直接跟融化后的反应堆堆芯相接触反应堆里边所有的放射性核素它都有此外有专家表示福岛核废水不只有排入海洋一种处置方式但日本选择了经济代价最小的海洋排放方案福岛核事故和切尔诺贝利事故同级2021世界水日中国水周L央视网的微博视频收起全文d,05月08日 16:22
5492,毛四皝AAAA新1,让日本排核废水甚至它都不用处理让日本尽情地排个够他们从来都是不害世界不甘心的甚至是害了世界也不甘心全世界各国可以分核污染传播的时间先后逐项与日本断绝经济贸易来往没办法a实在是没法吃喝穿戴,05月18日 09:11
4855,佧佧今天改ins名了吗,常洄家看看老6家再不站起来就被核废水冲没了洄妈只能干看着了加油啊愛你,05月16日 00:19
7331,夜满月Crystal,日本真相丑陋的日本人日本福岛核泄漏日本傻事你们要知道日本在8年前的2013还是用挖坑加三层防水布放核废水的会不会笑出眼泪啦然后结果被发现泄漏查看图片善良的囧囧神钢铁集装箱当初就应该灌铅密封的小日本作为发达国家这个钱都不舍得花宁愿害人害己,05月01日 12:53
7988,可力可瑟,任豪没有人比R1SE更爱R1SE任豪居然还有粉丝爱不爱R1SE不知道反正他最爱日本核废水,05月02日 22:27
6544,军事论潭,看看日本干的好事儿菅义伟诡计曝光计划将福岛废水排向大海环球奇谈国际军事地震在很大程度上无法预知现代技术只能在提前几分钟给出预警信息但是对于2011年日本福岛核电站的融毁爆炸和核辐射释放则是另外一回事儿日本国会成立的独立调查得出结论称岛核泄漏是一场深刻的人为灾难指责这家能源公司没有达到安全要求也没有为这种事件制定应急计划10年后日本东北部的几个城镇仍是禁区正努力清理该地区以便居民可以返回居住重大挑战依然存在在今后30至40年里将需要数万名工人安全地清除核废料燃料棒和仍保留在现场的100多万吨放射性液体就在这样的情况下日本政府于9日表示将福岛第一核电站的废水排入大海4月13日日本政府将召开内阁会议正式决定这一决定一出让日本渔民叫苦不迭除此以外日本学者指出如果在福岛排放污水将波及到太平洋甚至全球海洋对于鱼类迁徙远洋渔业人类健康生态安全等方方面面都会造成不可低估的影响收起全文d,04月11日 19:38
832,红星闪闪的溜达是dolphin,快到饭点需要琢磨吃什么的时候想吃蒜蓉蒸生蚝白灼鱿鱼须一想到日本核废水赶紧劝退想去菜市场自己买菜做饭又觉得身体好累不想动尤其厌恶洗碗劝退想吃香辣的湘菜川菜最近胃不太好劝退结果我现在来吃云吞,05月06日 11:14
1555,季白动新,真尼玛贱每天的新闻都在让我对国男的认知底线下降还管他日本鬼子倒不倒核废水还管他人口普查数据好不好看反正你们也看不起女的也不想让女的活干脆让女的灭绝算了,05月08日 15:28
4032,绵绵暴力熊,我们当然知道你爱国那个排核废水的国嘛,05月14日 13:43
4827,店长和她的咖啡厅,要是139没有那格惊天大哭我希望三笠十年内不要嫁人这次加页确实可以碰瓷一下泰坦尼克的完美结尾但是谏山创这个狗人在139之后好意思画这个不得不怀疑部分日本人是不是从小喝核废水长大的,05月16日 03:27
5,风云律动图201909,贼喊捉贼布林肯受访指责中国咄咄逼人此视频已有24万人围观快来加入O网页链接布林肯你在放屁你美国是一个霸权主义思想的国家搞生化武器制造非典传播冠状性肺炎疾疫情高种族肤色歧视压迫支持日本把核废水排入太平洋布林肯你有什么权利资格说中国不知廉耻的美国布林肯收起全文d,05月05日 23:45
807,风魔无下限,用这个钱治理核废水吧,05月06日 12:30
3501,caim被渣浪塞了口球,笑死我了这禁忌女孩第二季第二集还真是富江剧情啊尤其是活埋完了还道歉那个弹幕全是日本直呼内行小声抱歉其实核废水我们已经倒了反正吧总感觉喜欢道歉的人的道歉真的不值钱更甚至他都不一定觉得自己错了就那种好像对不起你好像应该向你道歉那我就道歉但是我该干啥还干啥比如一边活埋你一边道歉23333333收起全文d,05月13日 23:56
5850,红卫农夫,半封建半殖民地社会你们还有啥军事尖端技术先把核废水喝完吧,05月20日 10:37
3649,空泡的回忆,建议打点核废水,05月13日 15:59
2046,别扭拧巴矫情作妖,美国生化病毒让恒河水与核废水就此锁死,05月09日 12:06
1910,五月的十六,外媒那群双标狗们开始干活了吗照照镜子吧乌合麒麟任何世界性质的环保机构只要是对日本核废水不闻不问却跑来指责中国环保问题的都是打压中国的政治工具当放屁就行,05月09日 14:08
5305,银银银淫,可你为什么说日本核废水能排进大海啊私享史这个梗到底还要玩多久每逢狂风暴雨必有人受灾遭殃网友真的不要用这种玩笑来消解问题的严肃性,05月17日 00:52
10049,若木弱水,小日本鬼子干尽坏事超级缺德排核废水入海生物会大变异的人类的繁衍生息会受到重大影响军部六哥这个国家干过什么好事,04月10日 17:20
9378,ON1原始人,对于日本排放核废水国际环境没有反应这就已经说明现有国际秩序已经崩塌,05月04日 21:30
3985,·無量暗翳庭·,还真敢画红围巾啊脑子被核废水冲了吗,05月14日 16:17
9033,艾森克精酿啤酒,格里塔不让中国人用筷子怎么日本人倒核污水不谴责印度人烧木柴不谴责地瓜熊老六印度牛尿和恒河水不服双标新闻社这闺女其实就缺一碗水福岛核废水,05月03日 17:22
8514,春树暮云一盏风,再让我看到一个嘴我们风景元林二婚啊重组家庭之类的剑姬抚慰我一巴掌把你嘴扇烂风景元林大岛第一初恋给老子记住了到棺材里也给我记住了我两个小孩十八九岁到你这成了二婚我他妈真想把你眼抠出来看看眼窝子里是不是塞满了核废水,05月02日 15:34
9441,用户7565434030,一起神奈氚冲浪里日本核废水排入海洋影响有多大日本有多不要脸赵立坚说请日本官员先喝核废水赵立坚回应转发网友画作,05月04日 19:31
3344,BorealF,有个评论谏山创核废水喝多了,05月12日 09:52
8164,清风来吃瓜,任豪没有人比R1SE更爱R1SE真心搞不懂为什么还不糊脑子进核废水的人为什么还在热搜蹦跶,05月02日 22:04
6152,LoKiala,核废水要是可以喝日本还要往海里排个卵子还有人在洗洗你,04月11日 22:56
9191,林·秋,战略安全与军控在线放假也不能把重要的事忘了日本福岛核废水中不仅含氚而且还含62种金属放射性同位素它们存在时间长有化学毒性此外废水中的碳14半衰期为5700年历史上从未有如此大量的放射性核素排放到海洋里去它对海洋环境及生物链带来的影响难以预料转起,05月03日 11:47
8633,IsentLAN,感谢杨颜XF在我水逆的一天带给我快乐抽出蒂蒂然后开始关注核废水最后决定攻陷霓虹于是买了去北京和南京的机票这是我没想到的bushi还在神志不清的时候画了个日本海,05月03日 22:45
4587,胡江波在北京,韩国渔民要求日本每天赔偿一千万韩元央视报道韩国两家渔业协会提起对日本政府和东京电力公司的诉讼并将要求日本方面提供每天1000万韩元约合人民币57万元的赔偿1个月前日本政府正式决定福岛核废水排海并在昨日决定将从2023年开始执行引起日本国内外民众的强烈不满L胡江波在北京的微博视频收起全文d,05月15日 00:40
6602,李嘉楠Jalin__汐,海南概念股明天跌停日本排放核废水对未来几十年的海洋旅游餐饮绝对是打击没有旅游和餐饮免税有啥用日本不可违不毒一招废了你全部O新浪财经App社区,04月11日 19:05
5633,房天下装修,潜水员与好奇河豚自拍动物与人类共存不过排核废水动物怎么办近日澳大利亚水下摄影师朱尔斯凯西在维多利亚州莫宁顿半岛潜水时遇到了一条好奇的河豚这条河豚凑近凯西的脸与她一起看着镜头自拍凯西认为这条鱼可能是被相机上的灯光吸引,05月19日 10:20
8177,挽妮nini,任豪没有人比R1SE更爱R1SE我一直以为上一次核废水之后任豪已经糊透了没想到还有粉丝空瓶,05月02日 22:02
1683,i-NiaNia,PPBY拉瓦铀1959年731头目石井四郎在美国保护下寿终正寝1967年美军在越南撒下6700万升橙剂导致50多万畸形儿祸及200多万平民2003年美军入侵伊拉克八年时间杀死伊拉克平民6万人没找到传说中的大规模杀伤性武器2021年日本向太平洋排放核废水美国同意罄竹难书,05月08日 07:54
6695,OldKing1981,回复沧州微播报假仁假义看好你家狗乱排核污水沧州微播报你的日本孙子排核废水了怎么不见你BB环保了,04月11日 18:10
1599,狼天行VVL,日本政府正式决定福岛核废水排海日本副首相称喝处理核废水没事日本画家讽刺中国战狼外交疑翻车说真的核废水就是排了很快也会有人替我们选择谅解的欧玛omar帝吧管理员帝吧官微李檬萌蔡小心孤烟暮蝉轻兵器爱好者,05月08日 13:08
6650,芝士浓汤宝二号机,我现在就很平常心因为日畜的核废水已经排了十年了裸猿想不完蛋也难啊,04月11日 18:43
2382,武力统一,看看看日本测量核废水辐射的设备竟被做手脚连日本专家都看不下去了L武力统一的微博视频,05月10日 20:30
8208,哇塌西哇,任豪粉丝脑子里是核废水吗,05月02日 21:57
8001,前线课代表,任豪没有人比R1SE更爱R1SE爱它你就放过它一天天吸血这个团生怕别人不知道喝核废水的你是哪里来的吗虽然这个团也基本塌的没谁了,05月02日 22:25
3071,_林林林书辞,风中片语流到海里再碰上小日本的核废水然后进一步变异气话咱摊上这俩邻居真是唉是锦鲤宝贝呀这水不会流着海里吧,05月12日 23:49
1354,FunkynBrussels,自从pick了AVEX的艺人揍也扛了骂也挨了圣母病玻璃心被狠狠地治好了被骂er鬼子也会说whotmcares了胃也更好了一顿喝三碗核废水不成问题更能接受疯批的上网权利了练就了阴阳怪气的本领可以和无脊椎动物大战三百回合浑身轻松啊,05月07日 01:01
9236,淡墨龍砚写芳华,小日本如果非要用应该叫神奈氚小笼包核废水和的面,05月03日 10:54
5429,查拉图斯特拉不敢说,石原里美怎么多拉马拍一部扑一部绫野刚也越来越丑长得像抖音某油腻小奶狗老年版日テレ这算自甘堕落吧是想在核废水倾倒之际上演一曲金十的海洋悲歌吗,05月18日 16:03
3749,与小盒坠入爱河,转发好多日本人鹿鵝島純氧日記孝子们恨不得多喝几口核废水给爸爸尽尽孝阿初Celeste哄堂大孝折千木田笑死了博多女高中生目光短浅之人笑死官方消息都没说一堆精日喊人家换国籍怎么没见你们先换呢,05月13日 11:29
4285,洛彦为屿,哇唧唧哇哇唧唧哇天下第一歪屁股公司就是阁下了吧差别对待太明显了吧屁股歪到日本海了吧c的公式照呢商务宣传呢热搜呢多高阅读量都压着不上上是吧哇唧唧哇你是和钱有仇专爱扶贫是吗能挣钱最火的c就是防爆打压脑子进核废水了觉得鲨姐好欺负,05月14日 00:14
7237,中华义勇军--绝地反击,美日一起危害世界网络义勇军贰师愚蠢至极的美国现政府核废水排放入海难道美国人就能独善其身为了眼前一时之需智商已经出卖了美国一些人赵立坚个人微博那就把废水送到美国去吧,05月01日 16:24
8184,Evat的周末,来呀把这些控评的精英们都送去日本帮他哥哥喝干日本的核废水让他哥哥省去建罩子的麻烦,05月02日 22:01
5495,二月花bj,别光只是谴责要有实际有效的措施来阻止啊日本人祸祸世界的心总是蠢蠢欲动的日本核废水,05月18日 08:40
9970,虚幻和真实之间,日本人计划将核废水尽数排入海洋我在想如果是中国做这件事在全球范围内全有什么样的反应首先肉食者该检讨一下为何友邦总是对中国诧异我想答案应该是这样的整天想着友邦的脸色友邦肯定用脸色对你勒索,04月10日 18:28
3834,PePsiLR,呵呵谏山创你脑子里真是进了核废水了写崩结局还不够再加八页把三笠和让也写崩赶快去开你的低能温泉旅馆吧,05月13日 03:17
5242,每天写给自己的日记,福岛核电站储水罐已多次泄漏印度官方承认恒河浮尸中有新冠死者这两个连在一起看就很离谱当然想想这两个国家以往的操作又那么的正常印度人喝他们的恒河水日本人喝他们的核废水完美,05月17日 07:54
3897,是哈丽娜呀,字字怎么敢的啊堂堂正正zgdd居然跑去给rbr评论怎么敢的啊核废水喝完了吗,05月14日 21:56
8554,限定海岛小妤,艾洄的核废水不够你们贱逼女人喝么姜云升都觉得晦气吧,05月03日 23:45
8549,迷失在二月底的云,草这么圣母心也没见日本核废水你出来放个屁,05月03日 23:49
7823,3流8888,我免费围观了sven_shi的回答问题价值5600元快来一起围观O微博问答,05月02日 23:03
3721,夹总die,有这闲心多喝两碗核废水去吧LARRICE图片评论评论配图,05月13日 12:59
8673,无戚戚,美国死亡超50万四处穷兵黩武日本打算用核废水污染全球印度现在遍地坟场澳大利亚经济尚成问题跟着主子走差点就成丧家狗哪个安全了可笑至极,05月03日 22:28
995,多嘴马,我说怎么美国支持日本把福岛核废水直接排放进大海并称符合全球公认核安全标准狐狸尾巴露出来了原来它们是一丘之貉,05月07日 21:49
7579,爱情丶呵呵哒,pd1留鹤仍是有点沮丧盘膝做到石头上念了个诀身上开始冒出一缕缕的雾气衣服自动渐渐变干看得花淇淇很是羡慕怪不得住到小竹屋里后没怎么见莫闻莫问晾过衣服原来有这样的好方法恩美曲妥珠单抗特瑞普利单抗曲妥珠单抗赫赛汀雷莫卢单抗西妥昔单抗阿达木单抗注射液,05月01日 03:38
1543,潍坊环保,研究机构计算结果显示福岛核废水57天可废掉半个太平洋日本核废水入海危害有多大一家来自德国的研究机构计算结果显示从排放日起57天内放射性物质就将扩散至太平洋大半区域3年后美国和加拿大就将遭核污染影响同时核废水对海洋环境渔业资源食品安全和人类健康将产生重大影响成都创建国家食品安全示范城市L环球资讯的微博视频2潍坊阳光大厦收起全文d,05月08日 15:53
5816,小-黑侠,别人的眼泪是珍珠我的眼泪是核废水,05月20日 12:29
2516,L_MoonsuN,福岛排放核废水的事件好像降温了这些破坏生态的做法在西方某些政府眼中似乎是合理的没问题的常规操作常常活跃在质疑中国环境问题的外国环保人士也闭嘴不谈真的太好笑了那就拭目以待哥斯拉的诞生吧日本核废水外交部发言人办公室,05月10日 12:28
4878,羊肉串0036,美国向以色列出售735亿美元武器烦死了以色列怎么能袭击平民真是疯了一步一步挤压巴勒斯坦的生存空间吃相太难看了虽然我不该在这瞎逼逼但是还是有点看不下去核废水也是一样太难受了不负责任的人怎么这么多啊就不能和平爱护地球吗,05月17日 23:17
4516,日本君站,发布了头条文章世界观日本核废水入海你有权知道这些O世界观日本核废水入海你有权知道这些,05月15日 10:36
3036,-朝级可爱脸颊肉-,真想把核废水也给她们灌灌fullsun_wen哇偶去喝椰汁吗也不会藏砂糖要加纳豆酱发大水啦脆脆鲨糖拯救克泡世界第一女团,05月11日 08:51
2191,台台一台一台一台一台台,核废水喝多了吧你来妹妹哥给你醒醒Esports海涛选择性眼瞎真是小丑一只乌合麒麟任何世界性质的环保机构只要是对日本核废水不闻不问却跑来指责中国环保问题的都是打压中国的政治工具当放屁就行,05月09日 21:09
3516,给我一把起子,太孝了送过去喝核废水吧日本傻事笑死底下好多孝子啊又不是日本的疫苗又不是中国人这些人怎么这么急于给日本政府开脱呢,05月13日 23:08
